,type,title,doi,rescreen_7
73,stroke,Enhancing Stroke Prediction Using LightGBM With SMOTE-ENN and Fine-Tuning: A Comprehensive Analysis,10.7759/s44389-02402268-y,no
74,stroke,A Robust Methodology for Stroke Disease Prediction using a Hard Voting Classifier,10.48084/etasr.10292,no
75,stroke,An intelligent learning system based on electronic health records for unbiased stroke prediction,10.1038/s41598-024-73570-x,no
76,stroke,A brain stroke detection model using soft voting based ensemble machine learning classifier,10.1016/j.measen.2023.100871,no
77,stroke,A Machine Learning Ensemble Classifier for Prediction of Brain Strokes,10.14569/IJACSA.2022.0131232,no
78,stroke,Detecting Stroke in Human Beings Using Machine Learning,10.54941/ahfe1003460,no
79,stroke,A novel K-nearest neighbor classifier for lung cancer disease diagnosis,10.1007/s00521-024-10235-w,no
80,stroke,Detecting Brain Stroke Using Enhanced Ensemble Models in Data-Driven Healthcare Systems for the Future Factories,10.7759/s44389-025-06211-7,no
81,stroke,Analyzing the Performance of Stroke Prediction using ML Classification Algorithms,10.14569/IJACSA.2021.0120662,no
82,stroke,Multiple Explainable Approaches to Predict the Risk of Stroke Using Artificial Intelligence,10.3390/info14080435,no
83,stroke,Deep Learning and Machine Learning for Early Detection of Stroke and Haemorrhage.,10.32604/cmc.2022.024492,no
84,stroke,Genetic Folding (GF) Algorithm with Minimal Kernel Operators to Predict Stroke Patients,10.1080/08839514.2022.2151179,no
85,stroke,Process Mining Organization (PMO) Based on Machine Learning Decision Making for Prevention of Chronic Diseases,10.3390/eng5010015,no
86,stroke,Risk factor identification for stroke prognosis using machine-learning algorithms,10.5455/jjcit.71-1652725746,no
87,stroke,Machine Learning Approaches in Medical Data Processing: A Proposal for an Intelligent Stroke Diagnosis System,10.62520/fujece.1694558,no
88,stroke,A Machine Learning Framework for Stroke Prediction: Balancing Precision and Recall in Healthcare Analytics,10.1109/MeMeA65319.2025.11068036,no
89,stroke,Data Management Analysis for Predicting Stroke using RapidMiner,10.61487/jiste.v2i3.95,no
90,stroke,Optimization of Machine Learning Algorithms with Bagging and AdaBoost Methods for Stroke Disease Prediction,na,no
91,stroke,A comparative analysis of machine learning classifiers for stroke prediction: A predictive analytics approach,10.1016/j.health.2022.100116,no
92,stroke,Analysis of Data and Feature Processing on Stroke Prediction using Wide Range Machine Learning Model,10.15575/join.v9i1.1249,no
93,stroke,An Improved Concatenation of Deep Learning Models for Predicting and Interpreting Ischemic Stroke,10.1109/ACCESS.2024.3386220,no
94,stroke,A Predictive Model of Stroke Diseases using Machine Learning Techniques,10.35940/ijrte.A6900.0511122,no
95,stroke,Analysis of Stroke Classification Using Random Forest Method,10.33096/ilkom.v14i3.1252.186-193,no
96,stroke,Effective Stroke Prediction using Machine Learning Algorithms ,10.34104/ajeit.024.026036,no
97,stroke,Comparison of Classification Algorithm in Predicting Stroke Disease,10.34012/jurnalsisteminformasidanilmukomputer.v6i1.2714,no
98,stroke,Stroke Prediction,10.17265/2159-5275/2021.06.004 ,no
99,stroke,Enhanced stroke prediction using stacking methodology (ESPESM) in intelligent sensors for aiding preemptive clinical diagnosis of brain stroke,10.1016/j.measen.2024.101108,no
100,stroke,A novel adaptive weight bi-directional long short-term memory (AWBi-LSTM) classifier model for heart stroke risk level prediction in IoT,10.7717/peerj-cs.2196,no
101,stroke,The CLASSIFICATION OF STROKE PREDICTION USING THE SUPPORT VECTOR MACHINE (SVM) METHOD,10.35957/jatisi.v11i3.8044,no
102,stroke,RDET stacking classifier: a novel machine learning based approach for stroke prediction using imbalance data,10.7717/peerj-cs.1684,no
103,stroke,Stroke prediction based on multifactorial regression models,10.1117/12.2662578,no
104,stroke,Stroke Risk Prediction with Machine Learning Techniques,10.3390/s22134670,no
